"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1"
"dH_adj[359]",-186.957879952165,0.520684743647615,14.5619965265025,-215.729793840144,-197.074624429813,-187.416422861065,-177.027923554483,-158.224488694354,782.153765868605,1.00404317847137,-186.957879952165,14.5619965265025,-215.729793840144,-197.074624429813,-187.416422861065,-177.027923554483,-158.224488694354
"dH_adj[360]",-208.703920327614,0.589967226805577,16.4996205713823,-241.304234535914,-220.166802151204,-209.223477106713,-197.452680667315,-176.147254583318,782.153765868604,1.00404317847137,-208.703920327614,16.4996205713823,-241.304234535914,-220.166802151204,-209.223477106713,-197.452680667315,-176.147254583318
"dH_adj[361]",-173.532439906049,0.477911539522905,13.3657578091397,-199.940798954361,-182.818114178742,-173.953314437526,-164.418209448351,-147.159438931341,782.153765868605,1.00404317847137,-173.532439906049,13.3657578091397,-199.940798954361,-182.818114178742,-173.953314437526,-164.418209448351,-147.159438931341
"dH_adj[362]",-184.160312423758,0.511771745151166,14.3127265896943,-212.439713273182,-194.10388008104,-184.61100606819,-174.400335437846,-155.918774780257,782.153765868605,1.00404317847137,-184.160312423758,14.3127265896943,-212.439713273182,-194.10388008104,-184.61100606819,-174.400335437846,-155.918774780257
"dH_adj[363]",-210.722783492444,0.59639928757621,16.6795060927903,-243.678519481144,-222.310638279185,-211.2480046892,-199.34887827726,-177.811171840914,782.153765868606,1.00404317847137,-210.722783492444,16.6795060927903,-243.678519481144,-222.310638279185,-211.2480046892,-199.34887827726,-177.811171840914
"dH_adj[364]",-193.36056027491,0.541083564948766,15.132490608682,-223.259668952161,-203.873647578552,-193.83706747981,-183.041578831736,-163.501483425588,782.153765868604,1.00404317847137,-193.36056027491,15.132490608682,-223.259668952161,-203.873647578552,-193.83706747981,-183.041578831736,-163.501483425588
"dH_adj[365]",-217.745543215815,0.618773670399769,17.3052507279736,-251.93763925491,-229.768125381517,-218.290468493995,-205.944937106139,-183.599226872695,782.153765868605,1.00404317847137,-217.745543215815,17.3052507279736,-251.93763925491,-229.768125381517,-218.290468493995,-205.944937106139,-183.599226872695
"dH_adj[366]",-206.064977762159,0.581559604512535,16.2644844969705,-238.200704928934,-217.36450206963,-206.577130338176,-194.974079505745,-173.972277025174,782.153765868604,1.00404317847137,-206.064977762159,16.2644844969705,-238.200704928934,-217.36450206963,-206.577130338176,-194.974079505745,-173.972277025174
"dH_adj[367]",-215.784361855695,0.612525382794012,17.1305047928916,-249.631191022401,-227.685541714336,-216.323784556721,-204.102916570764,-181.982850108173,782.153765868604,1.00404317847137,-215.784361855695,17.1305047928916,-249.631191022401,-227.685541714336,-216.323784556721,-204.102916570764,-181.982850108173
"dH_adj[368]",-219.447156454743,0.624194978763589,17.4568685245889,-253.938822280176,-231.575072975101,-219.996856027805,-207.543160805949,-185.001671418383,782.153765868605,1.00404317847137,-219.447156454743,17.4568685245889,-253.938822280176,-231.575072975101,-219.996856027805,-207.543160805949,-185.001671418383
